cid,amount_requested,Age_at_application,Young,Scenior,Resi_status,monthly_rent_amount,Direct_deposit_flag,Vintage,loan_duration,Payment_Ach_Flag,num_payments,Amount_per_payment,Payment_frequency,payment_amount,amount_approved,Remaining Balance,Unapproved_amount,duration_approved,Unapproved_duration,Unhappy_approve,area1,area2,area3,Housing_turnover,bank_old_customer_flag,monthly_income_amount,Debt to Income Ratio,raw_l2c_score,raw_FICO_telecom,raw_FICO_retail,raw_FICO_bank_card,raw_FICO_money,how_use_money,other_iuse,bills_use,car_use,rent_use,school_use,overdraft_use,medical_use
38e888a4db,500,31,0,0,1,129,1,2010,5,1,5,100,1,193.91,500,306.09,0,5,0,0,1,0,0,1,1,1718,0.291036088,734,543,570,654,598,Other,1,0,0,0,0,0,0
063080fb2b,700,63,0,1,1,800,1,2010,5,1,5,140,1,193.91,500,306.09,-200,5,0,1,1,0,0,1,1,2100,0.238095238,661,535,576,676,593,Other,1,0,0,0,0,0,0
096f7fdd06,600,21,1,0,1,0,0,2010,8,1,12,41.66666667,2,84.03,500,415.97,-100,6,2,1,1,0,0,0,0,960,0.520833333,642,502,503,648,534,Other,1,0,0,0,0,0,0
c814f62edd,400,29,0,0,1,400,1,2010,5,1,21,19.04761905,4.2,35.21,400,364.79,0,5,0,0,1,0,0,0,0,1400,0.285714286,581,507,535,614,586,Other,1,0,0,0,0,0,0
3744b9845d,500,50,0,0,0,1172,1,2010,5,1,5,100,1,109.18,500,390.82,0,5,0,0,1,0,0,1,0,4191,0.119303269,766,618,623,680,631,Other,1,0,0,0,0,0,0
b86063bf54,500,56,0,0,0,960,1,2010,5,1,5,100,1,193.91,500,306.09,0,5,0,0,1,0,0,1,0,3400,0.147058824,591,607,612,680,640,Other,1,0,0,0,0,0,0
61ac7c10c7,500,46,0,0,1,550,0,2010,5,1,10,50,2,92.17,500,407.83,0,5,0,0,1,0,0,1,0,1200,0.416666667,765,533,542,654,560,Other,1,0,0,0,0,0,0
2a2617c97d,500,40,0,0,0,1100,1,2010,5,1,10,50,2,92.17,500,407.83,0,5,0,0,1,0,0,1,1,4000,0.125,765,624,659,700,641,Other,1,0,0,0,0,0,0
d312d7c101,800,32,0,0,1,200,1,2010,7,1,15,53.33333333,2.142857143,113.56,800,686.44,0,7,0,0,1,0,0,1,0,3376,0.236966825,808,528,550,680,601,Other,1,0,0,0,0,0,0
4ccdce892b,500,30,0,0,1,871,1,2010,5,1,10,50,2,92.17,500,407.83,0,5,0,0,1,0,0,0,0,2040,0.245098039,716,540,553,650,612,Other,1,0,0,0,0,0,0
7709edf805,800,19,1,0,1,0,1,2010,8,1,12,66.66666667,1.5,84.03,500,415.97,-300,6,2,1,1,0,0,1,1,2000,0.25,768,648,649,713,594,Other,1,0,0,0,0,0,0
03bff4b96f,500,42,0,0,1,700,1,2010,5,1,10,50,2,92.17,500,407.83,0,5,0,0,1,0,0,0,0,1600,0.3125,544,574,584,671,612,Other,1,0,0,0,0,0,0
2061a0ba7e,300,48,0,0,0,1100,1,2010,5,1,10,30,2,56.82,300,243.18,0,5,0,0,1,0,0,1,1,3990,0.07518797,601,630,657,705,651,Other,1,0,0,0,0,0,0
b158a1fb49,500,40,0,0,0,0,1,2010,5,1,21,23.80952381,4.2,44.01,500,455.99,0,5,0,0,1,0,0,0,0,1200,0.416666667,716,514,532,647,566,Other,1,0,0,0,0,0,0
3dab7661bc,800,37,0,0,1,635,1,2010,6,1,26,30.76923077,4.333333333,61.22,800,738.78,0,6,0,0,1,0,0,1,1,3000,0.266666667,719,525,538,648,599,Other,1,0,0,0,0,0,0
84e158c07c,500,42,0,0,1,0,1,2010,5,1,5,100,1,193.91,500,306.09,0,5,0,0,1,0,0,0,0,1700,0.294117647,544,611,609,680,617,Other,1,0,0,0,0,0,0
b3f8618085,500,54,0,0,1,180,1,2010,5,1,10,50,2,92.17,500,407.83,0,5,0,0,1,0,0,1,0,1952,0.256147541,550,572,599,648,607,Other,1,0,0,0,0,0,0
de3f3759c5,500,44,0,0,0,1508,1,2010,5,1,10,50,2,92.17,500,407.83,0,5,0,0,1,0,0,1,1,5600,0.089285714,603,564,564,680,618,Other,1,0,0,0,0,0,0
a58918ea5f,500,52,0,0,0,0,1,2010,6,1,26,19.23076923,4.333333333,38.26,500,461.74,0,6,0,0,1,0,0,1,1,2000,0.25,638,558,605,680,617,Other,1,0,0,0,0,0,0
438f15880d,500,40,0,0,0,0,1,2010,6,1,13,38.46153846,2.166666667,77.39,500,422.61,0,6,0,0,1,0,0,1,0,3000,0.166666667,612,527,515,656,583,Other,1,0,0,0,0,0,0
6b0eb405a9,800,60,0,0,0,0,1,2010,8,1,13,61.53846154,1.625,77.39,500,422.61,-300,6,2,1,1,0,0,1,1,1934,0.258531541,547,565,597,680,596,Other,1,0,0,0,0,0,0
2bb71af254,800,49,0,0,1,450,1,2010,8,1,12,66.66666667,1.5,84.03,500,415.97,-300,6,2,1,1,0,0,1,1,1600,0.3125,713,532,598,580,589,Other,1,0,0,0,0,0,0
a5dc7f28a0,800,57,0,0,1,715,1,2010,6,1,6,133.3333333,1,171.75,500,328.25,-300,6,0,1,1,0,0,1,1,2044,0.244618395,621,501,501,597,580,Other,1,0,0,0,0,0,0
69ab210ca1,500,52,0,0,1,1065,1,2010,5,1,10,50,2,92.17,500,407.83,0,5,0,0,1,0,0,1,0,3066,0.16307893,589,535,535,648,604,Other,1,0,0,0,0,0,0
eeec4eb4da,500,33,0,0,1,150,1,2010,5,1,5,100,1,193.91,500,306.09,0,5,0,0,1,0,0,0,0,2351,0.212675457,763,526,544,660,561,Other,1,0,0,0,0,0,0
651bfa844b,800,21,1,0,1,625,1,2010,8,1,13,61.53846154,1.625,77.39,500,422.61,-300,6,2,1,1,0,0,0,1,1400,0.357142857,716,501,536,618,543,Other,1,0,0,0,0,0,0
670150fcc4,500,53,0,0,1,0,0,2010,5,1,10,50,2,92.17,500,407.83,0,5,0,0,1,0,0,1,0,900,0.555555556,541,535,579,680,608,Other,1,0,0,0,0,0,0
6856486a4f,800,39,0,0,1,400,0,2010,5,1,21,23.80952381,4.2,44.01,500,455.99,-300,5,0,1,1,0,0,1,0,2000,0.25,745,501,548,644,558,Other,1,0,0,0,0,0,0
5974458fa5,800,43,0,0,1,400,1,2010,5,1,21,38.0952381,4.2,44.01,500,455.99,-300,5,0,1,1,0,0,0,1,2240,0.223214286,544,586,596,664,592,Other,1,0,0,0,0,0,0
4ffa8ffab7,500,42,0,0,1,750,1,2010,5,1,21,23.80952381,4.2,44.01,500,455.99,0,5,0,0,1,0,0,0,0,4000,0.125,716,507,520,660,557,Other,1,0,0,0,0,0,0
32afdd828f,500,32,0,0,1,650,0,2010,5,1,10,50,2,92.17,500,407.83,0,5,0,0,1,0,0,1,0,1400,0.357142857,763,522,535,647,576,Other,1,0,0,0,0,0,0
39e522717c,400,31,0,0,1,0,1,2010,8,1,13,30.76923077,1.625,61.91,400,338.09,0,6,2,1,1,0,0,1,1,1200,0.333333333,546,559,616,643,601,Other,1,0,0,0,0,0,0
8786986d4c,800,27,0,0,1,700,0,2010,3,1,6,133.3333333,2,221.57,800,578.43,0,3,0,0,1,0,0,1,0,2700,0.296296296,660,549,565,663,585,Other,1,0,0,0,0,0,0
831b70959f,700,25,0,0,0,1500,1,2010,5,1,21,23.80952381,4.2,44.01,500,455.99,-200,5,0,1,1,0,0,1,0,2400,0.208333333,50,222,222,222,222,Other,1,0,0,0,0,0,0
90901a8096,800,43,0,0,1,530,1,2010,3,1,3,166.6666667,1,284.69,500,215.31,-300,3,0,1,1,0,0,0,0,900,0.555555556,732,516,557,656,583,Other,1,0,0,0,0,0,0
831105c88c,500,32,0,0,1,475,0,2010,5,1,21,23.80952381,4.2,44.01,500,455.99,0,5,0,0,1,0,0,1,0,2400,0.208333333,541,510,539,630,589,Other,1,0,0,0,0,0,0
b428a201ef,300,53,0,0,0,600,1,2010,5,1,10,30,2,55.3,300,244.7,0,5,0,0,1,0,0,1,0,1400,0.214285714,574,560,581,680,616,Other,1,0,0,0,0,0,0
35f2509873,800,56,0,0,1,600,1,2010,6,1,13,61.53846154,2.166666667,77.39,500,422.61,-300,6,0,1,1,0,0,1,1,2042,0.244857982,544,618,657,708,639,Other,1,0,0,0,0,0,0
669311c476,500,29,0,0,0,0,1,2010,5,1,10,50,2,92.17,500,407.83,0,5,0,0,1,0,0,1,0,3152,0.158629442,577,501,525,632,564,Other,1,0,0,0,0,0,0
a229b97fcc,800,29,0,0,1,200,1,2010,6,1,12,66.66666667,2,134.45,800,665.55,0,6,0,0,1,0,0,1,1,2200,0.363636364,734,544,556,680,589,Other,1,0,0,0,0,0,0
a7e545c03d,500,44,0,0,1,400,1,2010,5,1,10,50,2,92.17,500,407.83,0,5,0,0,1,0,0,0,1,1600,0.3125,716,546,540,657,590,Other,1,0,0,0,0,0,0
ce9b5c8623,700,42,0,0,1,635,1,2010,8,1,17,41.17647059,2.125,92.64,700,607.36,0,8,0,0,1,0,0,0,1,1514,0.462351387,713,522,548,622,607,Other,1,0,0,0,0,0,0
3c3a9ad8e8,800,28,0,0,0,0,0,2010,6,1,13,61.53846154,2.166666667,123.82,800,676.18,0,6,0,0,1,0,0,1,1,1100,0.727272727,719,621,692,731,618,Other,1,0,0,0,0,0,0
021b03f1b5,500,37,0,0,1,1250,1,2010,5,1,21,23.80952381,4.2,44.01,500,455.99,0,5,0,0,1,0,0,0,0,6000,0.083333333,663,618,682,703,630,Other,1,0,0,0,0,0,0
7a8b40eb75,500,37,0,0,0,450,1,2010,5,1,10,50,2,94.7,500,405.3,0,5,0,0,1,0,0,1,0,2200,0.227272727,661,547,580,676,612,Other,1,0,0,0,0,0,0
07e2ff471b,700,29,0,0,1,300,1,2010,8,1,34,20.58823529,4.25,45.86,700,654.14,0,8,0,0,1,0,0,0,0,1550,0.451612903,733,557,587,656,604,Other,1,0,0,0,0,0,0
b4c59c7612,500,36,0,0,1,600,1,2010,5,1,10,50,2,92.17,500,407.83,0,5,0,0,1,0,0,0,0,2460,0.203252033,530,599,644,673,627,Other,1,0,0,0,0,0,0
e13fec332e,800,40,0,0,0,1000,1,2010,8,1,13,38.46153846,2.166666667,77.39,500,422.61,-300,6,2,1,1,0,0,1,0,2200,0.227272727,612,679,718,756,618,Other,1,0,0,0,0,0,0
5d30f10075,800,44,0,0,0,1050,1,2010,8,1,16,50,2,113.77,800,686.23,0,8,0,0,1,0,0,1,1,4800,0.166666667,765,614,655,684,627,Other,1,0,0,0,0,0,0
3b7cef3bf7,300,26,0,0,1,500,0,2010,8,1,12,25,2,50.42,300,249.58,0,6,2,1,1,0,0,0,0,2200,0.136363636,759,531,579,608,559,Other,1,0,0,0,0,0,0
68283e555e,800,26,0,0,1,200,1,2010,8,1,13,38.46153846,2.166666667,77.39,500,422.61,-300,6,2,1,1,0,0,0,0,1800,0.277777778,559,550,635,631,592,Other,1,0,0,0,0,0,0
88bc9b54ef,500,39,0,0,0,250,1,2010,5,1,5,100,1,193.91,500,306.09,0,5,0,0,1,0,0,1,0,2102,0.237868696,599,568,588,659,580,Other,1,0,0,0,0,0,0
e1e9512a7a,600,27,0,0,1,425,1,2010,5,1,10,60,2,92.17,500,407.83,-100,5,0,1,1,0,0,0,1,1800,0.277777778,734,515,501,632,567,Other,1,0,0,0,0,0,0
8933adf997,800,47,0,0,1,800,1,2010,4,1,17,47.05882353,4.25,81.87,800,718.13,0,4,0,0,1,0,0,1,1,1980,0.404040404,582,561,599,680,633,Other,1,0,0,0,0,0,0
c701d6ea24,500,42,0,0,1,850,1,2010,5,1,10,50,2,92.17,500,407.83,0,5,0,0,1,0,0,1,1,1900,0.263157895,639,534,607,608,558,Other,1,0,0,0,0,0,0
d197fd3d12,500,41,0,0,1,900,1,2010,5,1,10,50,2,92.17,500,407.83,0,5,0,0,1,0,0,1,1,3400,0.147058824,602,603,643,671,606,Other,1,0,0,0,0,0,0
8be01a4e5b,500,33,0,0,1,0,1,2010,5,1,21,23.80952381,4.2,44.01,500,455.99,0,5,0,0,1,0,0,0,0,1200,0.416666667,664,509,517,564,588,Other,1,0,0,0,0,0,0
5a7c6c7fd9,800,40,0,0,0,1400,1,2010,5,1,10,80,2,147.47,800,652.53,0,5,0,0,1,0,0,1,1,3100,0.258064516,678,569,585,680,631,Other,1,0,0,0,0,0,0
4801b08d2c,500,39,0,0,0,676,1,2010,5,1,10,50,2,92.17,500,407.83,0,5,0,0,1,0,0,1,0,2392,0.2090301,780,559,540,660,581,Other,1,0,0,0,0,0,0
3e7ae01d2f,800,46,0,0,0,1216,1,2010,5,1,5,160,1,193.91,500,306.09,-300,5,0,1,1,0,0,1,1,4703,0.106315118,542,603,590,680,637,Other,1,0,0,0,0,0,0
43f95271b3,800,38,0,0,1,500,1,2010,8,1,17,47.05882353,2.125,105.88,800,694.12,0,8,0,0,1,0,0,1,1,3780,0.211640212,765,632,650,705,627,Other,1,0,0,0,0,0,0
b3f9914dbb,600,59,0,0,1,500,1,2010,8,1,13,46.15384615,1.625,77.39,500,422.61,-100,6,2,1,1,0,0,0,1,2400,0.208333333,660,581,591,680,617,Other,1,0,0,0,0,0,0
eba05d27c7,800,34,0,0,1,1000,1,2010,3,1,13,38.46153846,4.333333333,62.88,500,437.12,-300,3,0,1,1,0,0,0,0,1880,0.265957447,521,586,636,678,609,Other,1,0,0,0,0,0,0
418abe2912,500,39,0,0,1,450,1,2010,8,1,12,41.66666667,1.5,84.03,500,415.97,0,6,2,1,1,0,0,1,1,2328,0.214776632,573,612,649,682,618,Other,1,0,0,0,0,0,0
a2b8c6090c,500,49,0,0,1,585,1,2010,5,1,21,23.80952381,4.2,44.01,500,455.99,0,5,0,0,1,0,0,0,0,2200,0.227272727,763,540,565,673,599,Other,1,0,0,0,0,0,0
6c5242f2a5,800,34,0,0,1,200,1,2010,8,1,12,41.66666667,2,84.03,500,415.97,-300,6,2,1,1,0,0,1,0,2550,0.196078431,663,508,501,641,583,Other,1,0,0,0,0,0,0
d91d47325b,400,56,0,0,1,400,1,2010,8,1,6,66.66666667,0.75,137.4,400,262.6,0,6,2,1,1,0,0,1,1,1912,0.209205021,593,601,640,645,614,Other,1,0,0,0,0,0,0
8effed4b67,500,52,0,0,0,1050,0,2010,5,1,10,50,2,92.17,500,407.83,0,5,0,0,1,0,0,1,1,2720,0.183823529,567,546,555,680,594,Other,1,0,0,0,0,0,0
d7001aa34e,300,39,0,0,1,600,1,2010,5,1,10,30,2,55.3,300,244.7,0,5,0,0,1,0,0,1,1,1800,0.166666667,555,511,514,634,579,Other,1,0,0,0,0,0,0
4.13198E+13,800,56,0,0,0,490,0,2010,5,1,10,80,2,151.51,800,648.49,0,5,0,0,1,0,0,1,1,3100,0.258064516,749,589,600,680,634,Other,1,0,0,0,0,0,0
1c2a95e85b,500,42,0,0,1,750,1,2010,5,1,10,50,2,92.17,500,407.83,0,5,0,0,1,0,0,0,1,960,0.520833333,754,529,519,649,595,Other,1,0,0,0,0,0,0
8e65defaac,800,42,0,0,0,734,1,2010,5,1,10,50,2,92.17,500,407.83,-300,5,0,1,1,0,0,1,0,2500,0.2,602,514,550,573,580,Other,1,0,0,0,0,0,0
ae6db7c42b,800,36,0,0,0,954,1,2010,8,1,8,100,1,231.76,800,568.24,0,8,0,0,1,0,0,1,1,3100,0.258064516,754,587,573,680,626,Other,1,0,0,0,0,0,0
a67b508060,500,27,0,0,1,0,0,2010,8,1,17,29.41176471,2.125,66.17,500,433.83,0,8,0,0,1,0,0,0,1,700,0.714285714,760,646,674,740,632,Other,1,0,0,0,0,0,0
ea7ea919be,500,27,0,0,1,400,0,2010,5,1,10,50,2,92.17,500,407.83,0,5,0,0,1,0,0,0,1,2200,0.227272727,734,510,556,653,569,Other,1,0,0,0,0,0,0
999a3f6650,500,22,1,0,1,370,1,2010,8,1,12,41.66666667,2,84.03,500,415.97,0,6,2,1,1,0,0,0,0,1580,0.316455696,663,501,533,643,555,Other,1,0,0,0,0,0,0
b636e56bca,800,43,0,0,0,1350,1,2010,6,1,13,61.53846154,2.166666667,123.82,800,676.18,0,6,0,0,1,0,0,1,1,3000,0.266666667,602,624,645,681,641,Other,1,0,0,0,0,0,0
9218a4a50e,300,63,0,1,0,888,0,2010,5,1,5,60,1,116.34,300,183.66,0,5,0,0,1,0,0,1,1,1224,0.245098039,522,593,592,680,620,Other,1,0,0,0,0,0,0
06c99dba63,400,66,0,1,1,550,1,2010,5,1,5,80,1,155.12,400,244.88,0,5,0,0,1,0,0,0,0,2394,0.167084378,580,575,551,680,612,Other,1,0,0,0,0,0,0
254ed2f678,500,50,0,0,1,950,1,2010,5,1,5,100,1,193.91,500,306.09,0,5,0,0,1,0,0,0,1,4385,0.114025086,586,550,536,677,599,Other,1,0,0,0,0,0,0
7d21a8040f,800,32,0,0,1,800,1,2010,8,1,13,38.46153846,2.166666667,77.39,500,422.61,-300,6,2,1,1,0,0,1,0,6000,0.083333333,654,517,526,664,570,Other,1,0,0,0,0,0,0
dfb2f1ec63,800,34,0,0,1,1075,1,2010,8,1,13,61.53846154,1.625,77.39,500,422.61,-300,6,2,1,1,0,0,0,1,3450,0.144927536,297,610,654,693,629,Other,1,0,0,0,0,0,0
8f9a8d56a4,550,31,0,0,0,600,1,2010,5,1,10,50,2,92.17,500,407.83,-50,5,0,1,1,0,0,1,0,1400,0.357142857,532,603,654,659,636,Other,1,0,0,0,0,0,0
4980ed214e,800,53,0,0,0,600,1,2010,8,1,13,38.46153846,2.166666667,77.39,500,422.61,-300,6,2,1,1,0,0,1,0,1500,0.333333333,574,557,582,680,617,Other,1,0,0,0,0,0,0
2b635765f0,500,28,0,0,1,900,1,2010,5,1,10,50,2,94.7,500,405.3,0,5,0,0,1,0,0,0,0,6338,0.07888924,583,558,608,672,605,Other,1,0,0,0,0,0,0
f52446dd8f,500,65,0,1,0,1714,0,2010,4,1,4,125,1,227.67,500,272.33,0,4,0,0,1,0,0,1,1,10000,0.05,536,627,660,705,662,Other,1,0,0,0,0,0,0
ce7456a9e0,300,31,0,0,1,600,1,2010,7,1,12,25,2,50.42,300,249.58,0,6,1,1,1,0,0,1,0,1470,0.204081633,645,529,569,665,586,Other,1,0,0,0,0,0,0
2ac47a61e0,300,79,0,1,0,0,1,2010,5,1,5,60,1,116.34,300,183.66,0,5,0,0,1,0,0,1,0,1327,0.226073851,621,587,607,680,636,Other,1,0,0,0,0,0,0
56de6d7823,500,41,0,0,1,600,1,2010,5,1,10,50,2,92.17,500,407.83,0,5,0,0,1,0,0,0,0,3500,0.142857143,716,515,544,584,575,Other,1,0,0,0,0,0,0
70409dc892,500,35,0,0,0,1142,1,2010,5,1,21,23.80952381,4.2,44.01,500,455.99,0,5,0,0,1,0,0,0,1,2400,0.208333333,681,610,661,656,633,Other,1,0,0,0,0,0,0
c7e8c1cc92,800,46,0,0,1,0,0,2010,5,1,10,50,2,94.7,500,405.3,-300,5,0,1,1,0,0,1,0,1800,0.277777778,536,529,543,607,608,Other,1,0,0,0,0,0,0
977ab97cf0,800,43,0,0,0,1308,1,2010,5,1,10,80,2,147.47,800,652.53,0,5,0,0,1,0,0,1,0,3843,0.2081707,661,657,670,703,650,Other,1,0,0,0,0,0,0
b1b61133de,800,21,1,0,1,0,1,2010,8,1,26,30.76923077,3.25,38.26,500,461.74,-300,6,2,1,1,0,0,1,1,2392,0.2090301,580,525,551,666,568,Other,1,0,0,0,0,0,0
d013fa3f91,300,26,0,0,0,800,1,2010,4,1,4,75,1,136.6,300,163.4,0,4,0,0,1,0,0,1,1,3100,0.096774194,616,620,657,721,613,Other,1,0,0,0,0,0,0
6a4e4b09d5,500,61,0,1,0,1600,0,2010,5,1,10,50,2,92.17,500,407.83,0,5,0,0,1,0,0,0,1,2000,0.25,528,592,571,680,609,Other,1,0,0,0,0,0,0
